SIGAA-3.0.0;06/05/11;09/06/11
SIGAA-3.1.0;10/06/11;05/09/11
SIGAA-3.3.0;06/09/11;13/10/11
SIGAA-3.4.0;14/10/11;21/11/14
SIGAA-3.5.0;22/11/14;27/03/15
SIGAA-3.6.0;28/03/12;19/06/12
SIGAA-3.7.0;20/06/12;15/10/12
SIGAA-3.8.0;16/10/12;17/03/13
SIGAA-3.9.0;18/03/13;20/05/13
SIGAA-3.10.0;21/05/13;13/06/13
SIGAA-3.11.0;14/06/13;17/09/13
SIGAA-3.12.0;18/09/13;02/04/14
SIGAA-3.13.0;03/04/14;10/09/14
SIGAA-3.14.0;11/09/14;04/02/15
SIGAA-3.15.0;05/02/15;01/06/15
SIGAA-3.16.0;02/06/15;05/07/15
SIGAA-3.17.0;06/07/15;29/09/15
SIGAA-3.18.0;30/09/15;19/10/15
SIGAA-3.19.0;20/10/15;08/11/15
SIGAA-3.20.0;09/11/15;14/12/15
SIGAA-3.21.0;15/12/15;20/12/15
SIGAA-3.22.0;21/12/15;08/03/16
